DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2016-2017 Regular Season,10.25.16,Carmelo Anthony,SF,New York,Cleveland,R,30.1,8,18,1,4,2,2,1,4,5,3,5,1,4,0,19
2016-2017 Regular Season,10.25.16,Kristaps Porzingis,PF,New York,Cleveland,R,32.8,5,13,3,5,3,6,4,3,7,0,5,1,2,2,16
2016-2017 Regular Season,10.25.16,Joakim Noah,C,New York,Cleveland,R,19.5,0,1,0,0,0,0,1,5,6,3,1,1,1,0,0
2016-2017 Regular Season,10.25.16,Courtney Lee,SG,New York,Cleveland,R,19.6,0,5,0,2,0,0,1,2,3,0,1,0,2,1,0
2016-2017 Regular Season,10.25.16,Derrick Rose,PG,New York,Cleveland,R,29.6,7,17,1,2,2,2,2,1,3,1,1,0,4,1,17
2016-2017 Regular Season,10.25.16,Brandon Jennings,PG,New York,Cleveland,R,21.2,1,7,0,4,5,6,1,2,3,5,2,0,1,0,7
2016-2017 Regular Season,10.25.16,Kyle O'Quinn,PF,New York,Cleveland,R,15.4,1,3,0,2,0,0,1,4,5,1,3,0,1,2,2
2016-2017 Regular Season,10.25.16,Lance Thomas,PF,New York,Cleveland,R,16.6,1,4,0,0,0,0,0,1,1,1,2,2,1,0,2
2016-2017 Regular Season,10.25.16,Justin Holiday,SG,New York,Cleveland,R,26.5,2,7,2,3,2,2,1,5,6,2,0,1,0,0,8
2016-2017 Regular Season,10.25.16,Willy Hernangomez,C,New York,Cleveland,R,9.4,2,3,0,0,0,0,1,0,1,0,1,0,1,0,4
2016-2017 Regular Season,10.25.16,Sasha Vujacic,SG,New York,Cleveland,R,3.3,0,1,0,1,1,2,0,0,0,1,1,0,1,0,1
2016-2017 Regular Season,10.25.16,Mindaugas Kuzminskas,SF,New York,Cleveland,R,9.2,3,5,1,3,0,0,0,1,1,0,0,0,0,0,7
2016-2017 Regular Season,10.25.16,Ron Baker,SG,New York,Cleveland,R,6.7,2,3,1,1,0,0,0,1,1,0,0,0,0,0,5
2016-2017 Regular Season,10.25.16,LeBron James,SF,Cleveland,New York,H,32.4,9,14,0,3,1,2,3,8,11,14,3,0,4,1,19
2016-2017 Regular Season,10.25.16,Kevin Love,PF,Cleveland,New York,H,25,6,15,2,6,9,12,2,10,12,2,3,3,2,0,23
2016-2017 Regular Season,10.25.16,Tristan Thompson,C,Cleveland,New York,H,22.4,0,1,0,0,0,0,2,4,6,0,4,0,2,0,0
2016-2017 Regular Season,10.25.16,JR Smith,SG,Cleveland,New York,H,25.2,3,13,2,8,0,0,0,3,3,2,1,1,0,0,8
2016-2017 Regular Season,10.25.16,Kyrie Irving,PG,Cleveland,New York,H,29.8,12,22,4,7,1,1,1,1,2,4,1,2,0,0,29
2016-2017 Regular Season,10.25.16,Richard Jefferson,SF,Cleveland,New York,H,25.8,5,7,2,3,1,2,0,4,4,1,1,2,2,0,13
2016-2017 Regular Season,10.25.16,Iman Shumpert,SG,Cleveland,New York,H,13.9,1,3,0,1,0,0,1,1,2,3,2,0,2,1,2
2016-2017 Regular Season,10.25.16,Mike Dunleavy,SF,Cleveland,New York,H,22.5,2,3,0,1,0,0,0,4,4,2,0,3,0,0,4
2016-2017 Regular Season,10.25.16,Channing Frye,C,Cleveland,New York,H,14.2,2,6,2,5,0,0,2,2,4,0,4,1,1,1,6
2016-2017 Regular Season,10.25.16,Jordan McRae,SG,Cleveland,New York,H,5.8,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2
2016-2017 Regular Season,10.25.16,DeAndre Liggins,SG,Cleveland,New York,H,12,2,3,0,0,0,0,0,3,3,3,1,0,1,1,4
2016-2017 Regular Season,10.25.16,Chris Andersen,C,Cleveland,New York,H,5.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2016-2017 Regular Season,10.25.16,James Jones,SF,Cleveland,New York,H,5.5,1,2,1,1,2,2,0,0,0,0,1,0,0,0,5
2016-2017 Regular Season,10.25.16,Joe Johnson,SF,Utah,Portland,R,30.5,12,16,3,4,2,2,0,4,4,3,0,1,2,0,29
2016-2017 Regular Season,10.25.16,Boris Diaw,PF,Utah,Portland,R,32.2,1,8,0,3,0,0,1,2,3,0,5,0,1,0,2
